매장명,주소,위도,경도
송도아크베이점,"인천 연수구 워터프런트로 150 (송도동, 더샵 송도 아크베이) 301동 1층 119",37.3992288565526,126.628727327175
경기수원오목천역점,"경기 수원시 권선구 삼천병마로 1563 (오목천동) 1, 2층 (오목천동)",37.2421199845751,126.962770534786
서울신길역점,"서울 영등포구 영등포로 347 (신길동, 베스트타워) 1층",37.5154611152724,126.917717577016
평택용죽점,경기 평택시 용죽2로 32-25 (용이동) 디하엔 1층 101호,36.9924464081657,127.124484254348
서울대입구역점,서울 관악구 관악로 148 (봉천동) 1층,37.4784570897706,126.952584285368
인천문학호산점,인천 미추홀구 소성로 317 (문학동) 1층 102호,37.4377630629322,126.682511769144
대구서남시장점,대구 달서구 당산로41길 38 (감삼동) 1층,35.8545374808553,128.545932533033
울산화정힐스테이트점,"울산 동구 화진길 100 (화정동, 힐스테이트 이스턴베이) 1층 1동 101호",35.4937725225038,129.422935393819
대구구지중앙점,"대구 달성군 구지면 과학마을로 42 (응암리, 오창빌딩) 103호",35.6555507132167,128.417989188782
김해불암점,경남 김해시 식만로 379 (불암동) 1층,35.2219083936591,128.925894166854
부산당감백산점,"부산 부산진구 백양순환로 51 (당감동, 백산아파트) 1층",35.1694055079507,129.033171845871
부산신평펜타플렉스점,부산 사하구 신산로 120 (신평동) 105호,35.0892780025994,128.968570830265
칠곡동명금암점,경북 칠곡군 동명면 금암1길 23 (금암리) 1층,35.9825663712689,128.55483529763
울산온산공단점,울산 울주군 온산읍 화산리 1011-4 하삼동커피,35.438570784096,129.334394397627
경기오산원동점,"경기 오산시 경기대로 155 (원동, 신한프라자A) 1층 107호",37.1386456909576,127.07311091148
밀양시청점,경남 밀양시 시청로 25 (내이동) 1층,35.504432367424,128.744487149364
진주성북봉곡점,"경남 진주시 촉석로 127 (봉곡동) 1층,158호",35.1937953951235,128.076284579334
김해율하더스카이시티점,경상남도 김해시 장유로 500 301동 J114호 (신문동),35.18453510666414,128.82279036357414
울산장생포고래박물관점,울산 남구 장생포고래로213번길 3 (장생포동) 1층,35.5028559182593,129.377325307687
김해삼계점,경남 김해시 삼계중앙로 31 (삼계동) 103호 일부(대흥빌딩),35.2607371634983,128.868309567667
동해시청점,"강원특별자치도 동해시 중앙로 242 (천곡동, 샘실빌딩) 1층 102호",37.5223143858312,129.114564650299
서울마포역점,"서울 마포구 삼개로 24 (도화동, 용현빌딩) 1층 105, 106호",37.5380766743398,126.947290085643
진주정촌예하리점,경남 진주시 정촌면 예하리  1397-5,35.1145798646446,128.104297637113
울산롯데시네마점,"울산 남구 삼산로 288 (삼산동, 롯데백화점, 울산고속버스터미널) 3층",35.5386226526119,129.338866778005
대구월성푸르지오점,"대구 달서구 조암로6길 20 (월성동, 월성푸르지오) 상가1동 1층",35.8291284926895,128.52602121332
서울압구정로데오점,서울 강남구 신사동  657-19,37.526097676358,127.037939508334
영덕강구시장길점,경북 영덕군 강구면 강구시장길 46 (오포리) 1층 102호,36.360376307377,129.377531279025
창원에일린의뜰점,경남 창원시 성산구 대원로 87 (대원동) 1층,35.2342773615178,128.651842286271
충주호암힐데스점,"충북 충주시 호암토성2로 1 (호암동, 호암 힐데스하임) B동 102호",36.9547411279707,127.933329482108
주식회사 하삼동 명지씨지브이직영점,"부산 강서구 명지국제8로10번길 38 (명지동) 제1동 101호(명지동,플러스시네마)",35.0943776683714,128.903500417281
서울금호역점,"서울 성동구 장터길 34 (금호동4가, 남지빌딩) 하삼동커피",37.5481743997868,127.019612621523
안양만안구청점,"경기 안양시 만안구 만안로 35 (안양동, 빌로채) 1층",37.386335581797,126.933874259452
