철도운영기관명,선명,역명,도로명주소,위도,경도
코레일,1호선,온양온천,충청남도 아산시 온천대로 1496,36.7804682813951,127.003451110541
코레일,1호선,외대앞,서울특별시 동대문구 휘경로 27,37.5954136758127,127.063058800869
코레일,1호선,용산,서울 용산구 한강대로23길 55,37.5297718014452,126.964741503485
코레일,1호선,월계,서울시 노원구 월계로 53길 40,37.6321089404669,127.058729394991
코레일,1호선,의왕,경기도 의왕시 철도박물관로 66,37.3211117738404,126.948383028902
코레일,1호선,의정부,경기도 의정부시 평화로 525,37.7379562781405,127.0458721684
코레일,1호선,인천,인천광역시 중구 제물량로 269,37.4765938446837,126.617089760956
코레일,1호선,제물포,인천광역시 미추홀구 경인로 129,37.466803102521,126.656869633392
코레일,1호선,주안,인천광역시 남구 주안로 95-19,37.4649825668815,126.680603833441
코레일,1호선,중동,경기도 부천시 소사구 중동로 73,37.4866184306424,126.764292213307
코레일,1호선,평택지제,경기도 평택시 경기대로 777,37.0187846508605,127.070512706629
코레일,1호선,지행,경기도 동두천시 평화로 2285,37.8918774567748,127.055664161171
코레일,1호선,직산,충청남도 천안시 서북구 직산읍 천안대로 1471-33,36.8713897700414,127.143691456107
코레일,1호선,진위,경기도 평택시 진위면 경기대로 1855,37.1099375555493,127.062366903315
코레일,1호선,창동,서울특별시 도봉구 마들로 11길 77(창동역 1호선),37.6532084846758,127.04768378525
코레일,1호선,천안,충청남도 천안시 동남구 대흥로 239,36.8123208138282,127.146822493854
코레일,1호선,평택,경기도 평택시 평택로 51,36.9918974768998,127.083288658126
코레일,1호선,화서,경기도 수원시 팔달구 덕영대로 692,37.2848936747156,126.989199634131
코레일,1호선,회기,서울특별시 동대문구 회기로 196,37.5897534990469,127.058075963059
코레일,1호선,회룡,경기도 의정부시 평화로 363(회룡역),37.7240080500258,127.047317048262
코레일,1호선,탕정,충남 아산시 탕정면 한들물빛6로 11,36.7877232410844,127.084447967937
코레일,1호선,청산,경기도 연천군 학담로 46,37.9950807424068,127.074372084594
코레일,1호선,전곡,경기도 연천군 전곡읍 전곡역로 75,38.0245935963751,127.071333451285
코레일,1호선,연천,경기도 연천군 연천읍 연천로 275,38.1007144124804,127.073895641667
코레일,3호선,원흥,경기도 고양시 덕양구 권율대로 681 (원흥동원흥역) 원흥역,37.6509206996283,126.873307347639
코레일,3호선,대곡,경기도 고양시 대주로 107번길 71-81,37.6318206316005,126.810602730178
코레일,3호선,대화,경기 고양시 일산서구 중앙로 1569,37.675954868441,126.747305098166
코레일,3호선,마두,경기도 고양시 일산동구 중앙로 지하 1180,37.6523303524635,126.778195968273
코레일,3호선,백석,경기도 고양시 일산동구 중앙로 1042 (백석동) 백석역,37.6431608335662,126.788171623016
코레일,3호선,삼송,경기도 고양시 덕양구 삼송로 194 삼송역,37.6532535002136,126.895742528622
코레일,3호선,원당,경기도 고양시 덕양구 고양대로 1429 원당역,37.6534333656508,126.843104741837
코레일,3호선,정발산,경기도 고양시 일산동구 중앙로 1270,37.659658137905,126.77346582683
코레일,3호선,주엽,경기도 고양시 일산서구 중앙로 1432 (주엽동주엽역) 주엽역,37.6704315940863,126.761046013417
코레일,3호선,화정,경기도 고양시 덕양구 화정로 60,37.6345077843042,126.832630042005
코레일,4호선,경마공원,경기도 과천시 경마공원대로 지하105,37.4441407439838,127.008051189437
코레일,4호선,고잔,경기도 안산시 단원구 중앙대로 784,37.3169100461483,126.822032221336
코레일,4호선,과천,경기도 과천시 별양로 지하 177,37.4334527847941,126.997456834042
코레일,4호선,금정,경기도 군포시 군포로 750(금정동),37.3722878708479,126.943387264162
코레일,4호선,대공원,경기도 과천시 대공원대로 50,37.4357353154423,127.005564107175
코레일,4호선,대야미,군포시 대야1로 28번,37.3283278084294,126.917178861076
코레일,4호선,반월,경기도 안산시 상록구 건건로 119-10,37.3120043860232,126.903795028845
코레일,4호선,범계,경기도 안양시 동안구 동안로 지하 130,37.38973437119,126.950983854413
코레일,4호선,산본,경기도 군포시 번영로 504 (산본동),37.3581051591978,126.933175158373
코레일,4호선,상록수,경기도 안산시 상록구 상록수로 61,37.3029804927532,126.865417356052
코레일,4호선,선바위,경기도 과천시 중앙로 440,37.4518581959239,127.00136049989
코레일,4호선,수리산,경기도 군포시 번영로 385,37.350128811081,126.92549018064
코레일,4호선,신길온천,경기도 안산시 단원구 황고개로 2,37.3375787569365,126.767149151692
코레일,4호선,안산,경기도 안산시 단원구 중앙대로 462,37.3279773719144,126.787289454372
코레일,4호선,오이도,경기도 시흥시 역전로 430,37.3619270024133,126.738463594077
코레일,4호선,인덕원,경기도 안양시 동안구 흥안대로 529,37.4015080484355,126.976688773261
코레일,4호선,정부과천청사,경기도 과천시 중앙로 지하 100(별양동),37.4259969407168,126.990186147038
코레일,4호선,정왕,경기도 시흥시 마유로 418번길 15,37.3517739382788,126.743009420685
코레일,4호선,중앙,경기도 안산시 단원구 중앙대로 918,37.3160120851693,126.838496502051
코레일,4호선,초지,경기도 안산시 단원구 중앙대로 620,37.3206930878552,126.805905689102
코레일,4호선,평촌,경기도 안양시 동안구 부림로 지하 123,37.3944955073661,126.963866284332
코레일,4호선,한대앞,경기도 안산시 상록구 충장로 337,37.310138887688,126.853604115068
코레일,수인분당,가천대,경기도 성남시 수정구 성남대로 1332,37.4485689815439,127.126705584536
코레일,수인분당,강남구청,서울특별시 강남구 학동로 346,37.5171892352971,127.04130142966
코레일,수인분당,개포동,서울시 강남구 개포로 지하420,37.4892484725195,127.066474949768
