매점명,지역,주소,위도,경도
정부대전청사점,대전,"대전광역시 서구 청사로 189 , 민원동 1F",36.3626829863103,127.384903880328
종로본점,,"서울시 종로구 종로84, 1,2층(종로2가)",,
파주운정DI점,경기도,경기도 파주시 동패동 22-5,37.7056948333199,126.746531693016
아산탕정역점,충청남도,"충청남도 아산시 탕정면 한들물빛6로 26, 1층",36.7878480965527,127.085886849308
파주봉일천DI점,경기도,경기도 파주시 조리읍 등원리 409-25,37.7555677245907,126.801643346928
정안알밤휴게소(천안),충청남도,충청남도 공주시 정안면 논산천안고속도로 58,36.5694495299682,127.115102332782
정안알밤휴게소(논산),충청남도,충청남도 공주시 정안면 논산천안고속도로 57,36.5707960910293,127.112004437346
일광이동항점,부산,부산광역시 기장군 일광읍 이천리 266-1,35.2711157956084,129.243784081044
곡성기차마을휴게소(순천)점,전라남도,"전라남도 곡성군 겸면 호남고속도로 49 (가정리, 곡성(하)휴게소)",35.2583754543935,127.151012540593
서면아이온시티점,,"부산광역시 부산진구 서면로 74 (부전동, 아이온시티빌딩)1F",35.1572030744245,129.058129839487
안동성소병원점,경상북도,경상북도 안동시 서동문로 99 안동성소병원 신관 5층,36.5671582715711,128.722710342768
문래역점,서울,"서울시 영등포구 당산로 57, 1F",37.5200035152284,126.894981398751
파주뮤지엄헤이점,경기도,"경기도 파주시 탄현면 평화로 885-43 ,뮤지엄헤이 1층",37.7828471165328,126.690283218336
대전석교DI점,대전,"대전광역시 중구 대종로 165 1,2층",36.3061506632985,127.447722721663
논현언주역점,서울,"서울시 강남구 언주로 113길 22 1,2층",37.5093555052222,127.036500044698
