노선명,역명,총 승차승객수,총 하차승객수
분당선,신갈,4319.935483870968,4249.387096774193
분당선,압구정로데오,18455.1935483871,19809.0
분당선,야탑,23715.774193548386,24862.967741935485
분당선,영통,8318.483870967742,8233.838709677419
분당선,오리,10192.322580645161,8945.032258064517
분당선,이매,4960.612903225807,4808.870967741936
분당선,정자,17334.129032258064,18128.032258064515
분당선,죽전,11624.774193548386,12998.290322580646
분당선,청명,4167.677419354839,4026.967741935484
분당선,태평,12476.645161290322,12021.41935483871
분당선,한티,16148.483870967742,16476.90322580645
서해선,김포공항,3140.3548387096776,4521.4838709677415
서해선,부천종합운동장,2695.8709677419356,2317.3225806451615
서해선,원종,4687.290322580645,4622.548387096775
수인선,고색,4949.612903225807,4692.806451612903
수인선,남동인더스파크,1916.9354838709678,2117.483870967742
수인선,달월,82.93548387096774,53.58064516129032
수인선,사리,4456.612903225807,3821.967741935484
수인선,소래포구,4462.645161290323,4217.290322580645
수인선,송도,2263.7096774193546,2088.3548387096776
수인선,숭의,3985.1612903225805,3642.967741935484
수인선,신포,1525.1290322580646,1545.4516129032259
수인선,야목,640.1290322580645,531.483870967742
수인선,어천,1330.4516129032259,1282.967741935484
수인선,연수,4286.1612903225805,4288.645161290323
수인선,오목천,3386.935483870968,2989.8709677419356
수인선,원인재,3915.516129032258,4041.7096774193546
수인선,월곶,2583.6129032258063,2379.7096774193546
수인선,인천,918.0,1365.0967741935483
수인선,인천논현,4908.225806451613,5171.5161290322585
수인선,인하대,5799.419354838709,5357.419354838709
수인선,호구포,3449.7419354838707,3579.6774193548385
신림선,관악산(서울대),2658.967741935484,2498.0967741935483
신림선,당곡,4844.290322580645,4694.354838709677
신림선,대방,3252.483870967742,2496.0
신림선,보라매,4384.387096774193,3941.5806451612902
신림선,보라매공원,2204.0967741935483,2416.3225806451615
신림선,보라매병원,7628.741935483871,7908.967741935484
신림선,샛강,2719.8387096774195,3214.064516129032
신림선,서울대벤처타운,9798.258064516129,9195.322580645161
신림선,서울지방병무청,3108.6451612903224,3443.4193548387098
신림선,서원,3528.6451612903224,3189.0967741935483
신림선,신림,2355.1290322580644,2741.4193548387098
안산선,고잔,7970.612903225807,7702.645161290323
안산선,대야미,4556.1612903225805,3991.548387096774
안산선,반월,3989.2580645161293,3837.5806451612902
안산선,산본,15171.709677419354,16145.032258064517
안산선,상록수,13103.161290322581,13261.935483870968
안산선,수리산,3587.1935483870966,2985.451612903226
안산선,신길온천,1858.4516129032259,1655.1935483870968
안산선,안산,10974.387096774193,10214.709677419354
안산선,오이도,6714.5161290322585,6590.548387096775
안산선,정왕,7949.419354838709,8051.774193548387
안산선,중앙,17084.90322580645,17863.548387096773
안산선,초지,4267.225806451613,4306.677419354839
안산선,한대앞,8090.903225806452,8086.419354838709
우이신설선,4.19민주묘지,2861.8387096774195,2658.6774193548385
우이신설선,가오리,4073.2903225806454,4064.6129032258063
우이신설선,보문,1747.3225806451612,1744.4516129032259
우이신설선,북한산보국문,5774.548387096775,5480.935483870968
우이신설선,북한산우이,2599.935483870968,2402.2903225806454
우이신설선,삼양,2368.2580645161293,2455.8387096774195
