매장명,주소,위도,경도
분당파크타운점,"경기도 성남시 분당구 내정로 170 (수내동, 동신파크빌딩) .",37.3734822322128,127.1196585636
하남덕풍점,경기도 하남시 덕풍북로 2 .,37.5465190526701,127.198429105715
대전오류점,"대전광역시 중구 계룡로 876 메종드메디컬빌딩 104호, 202호 .",36.3232332443476,127.411063165281
계룡대점,충청남도 계룡시 신도안면 신도안1길 43 (계룡스포츠센터) 계룡스포츠센터 1층,36.2961796776733,127.245661746199
대전타임월드점,대전광역시 서구 둔산로 32-13(둔산동) .,36.3510584920899,127.377297324363
구미오태DT점,경상북도 구미시 금오대로 320 .,36.0729781990071,128.351102643001
화정DI점,경기도 고양시 덕양구 화신로 254 (화정동) .,37.630815241124,126.833367781083
부산광복점,부산광역시 중구 광복로 70 (광복동2가) .,35.0986904599204,129.032496756211
과천정보타운점,"경기도 과천시 과천대로7가길 20 (갈현동,프리즘스퀘어1 1층 101호) 갈현동 산32",37.4142847459543,126.981002959956
양평북한강DI점,경기도 양평군 양서면 양수로118번길 29 할리스,37.5449819911009,127.323590388456
완주삼봉점,전라북도 완주군 삼례읍 신기길 5-3 수계리 1212-4,35.9184114195791,127.117547781303
잠실새내역점,"서울특별시 송파구 올림픽로12길 8 (잠실동, 제일빌딩) .",37.5109956587836,127.082785706876
화성남양점,경기 화성시 역골중앙로 115 1층 남양읍 남양리 2279-2,37.2079439318033,126.827360821856
여주교동DI점,경기도 여주시 향교로 17 (창동) 1층~2층 /창동 183-4,37.2882945237973,127.632101484765
중랑역점,서울특별시 중랑구 망우로 210 (상봉동) .,37.5936673220132,127.07599534973
분당서울대병원점,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원) 본관 1동",37.3520254308069,127.124485012105
강변역점,"서울 광진구 구의강변로 64, 구의아크로리버 1층 구의동 589-10",37.5358285666892,127.092583672192
대구중동점,대구 수성구 중동 322-14 .,35.8464783275064,128.612543282565
오산궐동점,경기 오산시 궐리사로 34 1층 (백충빌딩 1층) 궐동 670-1,37.1600552447742,127.05623004482
오산역점,"경기도 오산시 오산로 195 (오산동, 명신예식홀) 오산동 882-1",37.1445010433001,127.067822936941
용산아이파크몰점,"서울특별시 용산구 한강대로23길 55, 서관 4층 (한강로3가, 용산역) .",37.5297718014452,126.964741503485
등촌역점,서울특별시 강서구 등촌로 229 1~2층,37.5502242501914,126.863458548999
부산서부터미널점,"부산광역시 사상구 사상로 201 (괘법동, 서부시외버스터미널) .",35.1631461622437,128.98098582427
춘천강원대점,강원특별자치도 춘천시 서부대성로 229 (효자동) .,37.8732984154019,127.743628816655
송도대홍프라자점,인천광역시 연수구 해돋이로152번길 9 /송도동 21-57,37.3949839903136,126.647089398704
