매장명,주소,구,위도,경도
세광교회점,서울 금천구 독산로 124 (시흥동),금천구,37.4583414293405,126.905521424788
가산리더스타워점,서울 금천구 가산동 60-15 삼성리더스타워 지하1층,금천구,37.4803571157404,126.884197173231
박미삼거리점,서울 금천구 시흥대로 150 지상1층(시흥동),금천구,37.4476250836631,126.90366423687
시흥유통센터점,"서울 금천구 시흥대로 88 1층(시흥동, 오복빌딩)",금천구,37.4418896970511,126.903909572546
가산오거리점,"서울 금천구 가산로 155 (가산동, 케이디에스빌딩) 지상1,2층",금천구,37.4788595120999,126.890101661398
독산동쌈지공원점,서울 금천구 독산로 276 (독산동) 102호,금천구,37.4713521158292,126.903287759237
석수푸르지오점,"서울 금천구 삼성산길 11 (시흥동, 위너스타워) 101호",금천구,37.4341080949544,126.904820619517
서서울미술관점,서울 금천구 시흥대로79길 65,금천구,37.4577462883391,126.895539272251
태릉입구역점,서울 노원구 공릉동  633-17,노원구,37.6196191189831,127.077849490596
육군사관학교점,서울 노원구 화랑로 574 (공릉동) 육군사관학교 행정안내소,노원구,37.6149432,127.0654939
상계상록스토아점,"서울 노원구 동일로227길 26 (상계동, 상계주공15단지아파트) 상가동 지하1층, 지상1층",노원구,37.6701880464645,127.054677638301
월계이마트점,"서울 노원구 마들로3길 15 (월계동, 월계이마트) 이마트 더타운몰 월계점 2층 아크앤북 이디야커피",노원구,37.6265093604229,127.061979778612
월계인덕점,"서울 노원구 광운로22길 39 1층(월계동, ID시티)",노원구,37.6298501245091,127.058818019772
중계본동점,서울특별시 노원구 중계로14바길 2,노원구,37.6498801772267,127.082582114688
중계롯데우성점,서울 노원구 중계동  361-1,노원구,37.6468291149362,127.072828819069
당고개역점,서울특별시 노원구 상계로 313 (상계동  ) 1층,노원구,37.6708076278789,127.080369958013
상계중앙점,서울 노원구 동일로 1650 (상계동) 1~2층,노원구,37.6754838685069,127.055546879508
광운대점,서울 노원구 월계동 465-10,노원구,37.6203306733769,127.058423696808
공릉역점,서울 노원구 공릉동  386-6번지 1층,노원구,37.6262170742682,127.073306458241
원자력병원점,서울 노원구 공릉동  421-19 102호,노원구,37.6268788964919,127.079494773049
수락산역점,서울 노원구 상계동  하이베라스 133호 (동일로 1689),노원구,37.66727,127.07242
상계동점,서울 노원구 상계동  456-132,노원구,37.6648836912086,127.06645978682
상계역점,서울 노원구 중계동  광현빌딩 1층,노원구,37.6509815,127.0810259
서울여대점,서울 노원구 공릉동  90-4 우토파크프라자 105호,노원구,37.6214491190448,127.085148465261
중계점,서울 노원구 동일로204가길 34 103호,노원구,37.6407495352012,127.068172151465
창동역점,서울 도봉구 창동 13번지 103호,도봉구,37.6533846009574,127.049710658595
덕성여대점,서울 도봉구 삼양로 542 1층(쌍문동),도봉구,37.6516216780529,127.012971416471
방학점,서울 도봉구 방학동  670,도봉구,37.6621568530952,127.033250269639
쌍문역점,서울 도봉구 쌍문동  88-20,도봉구,37.6494456458646,127.034708415831
창동학원가점,서울 도봉구 창동  해동로16길 61 1층,도봉구,37.6534371,127.0488204
신창점,서울 도봉구 창동  578-146,도봉구,37.6389354320852,127.038098669894
방학역점,서울 도봉구 방학동  652-21,도봉구,37.6698346348421,127.042550741988
선덕고사거리점,"서울 도봉구 쌍문동  256 에벤에셀 101동 209,225호",도봉구,37.657368090442,127.028238361724
쌍문동점,서울 도봉구 노해로 162 (쌍문동) 1층,도봉구,37.6488357345433,127.02730254917
도봉산점,서울 도봉구 도봉산길 18 (도봉동) 1층,도봉구,37.6875596911354,127.043749364109
창동제일점,서울 도봉구 노해로70길 81 (창동) 1층 101호,도봉구,37.6488484451094,127.052567817039
창동하나로마트점,"서울 도봉구 마들로11길 20 (창동, 농협창동유통센타) 1층",도봉구,37.655110585923,127.050831341385
창동대우점,서울 도봉구 덕릉로63가길 30 (창동) 1층,도봉구,37.643486094098,127.038745142976
솔밭공원역점,"서울 도봉구 삼양로 594 (쌍문동, 주함해븐빌) C-1동 1층 101호",도봉구,37.6560582306343,127.013556949839
경희대캠퍼스점,서울 동대문구 경희대로 26 1층 호텔관광대학(회기동),동대문구,37.5939491407769,127.054890960564
청량리역점,"서울 동대문구 고산자로34길 70 (용두동, 청량리역 해링턴플레이스)",동대문구,37.5782923121696,127.042196782039
답십리점,"서울 동대문구 사가정로 6 (답십리동, 청계G well estates) 1층 101호",동대문구,37.5701769955012,127.049533732451
신설동역점,서울 동대문구 천호대로 11-3 (신설동) 1층,동대문구,37.5750661619472,127.024947007152
답십리사거리점,"서울 동대문구 답십리로 145 (답십리동) 1층,2층",동대문구,37.5730704793412,127.056115399363
장안중랑천점,서울 동대문구 장한로18길 32 (장안동) 1층,동대문구,37.5675373374578,127.070775789879
장한평군자초교점,서울 동대문구 한천로2길 53 (장안동) 1층,동대문구,37.5628367694104,127.061408380128
답십리파크자이점,"서울 동대문구 한천로 55 (답십리동, 영진빌딩) 1층",동대문구,37.5669101962131,127.061880899304
이문점,서울 동대문구 신이문로 19 1층(이문동),동대문구,37.6031419104525,127.064253948955
청량리점,서울 동대문구 왕산로 225 미주상가 1층 10호,동대문구,37.5821227010138,127.047209103701
