브랜드명,지역,매장명,주소,위도,경도
빽다방,대전,대전선화빌리프점,대전광역시 중구 대종로517번길 61 (선화동),36.3283972655773,127.421260008487
컴포즈커피,대전,대전통합청사점,대전광역시 중구 대종로517번길 61 1층 105호,36.3283972655773,127.421260008487
디저트39,대전,대전역점,"대전광역시 동구 중앙로 215 (정동, 대전역)",36.3344230194263,127.432103833008
던킨도너츠,대전,대전역사,"대전광역시 동구 중앙로 215 (정동, 대전역)",36.3344230194263,127.432103833008
메가커피,대전,대전선화하늘채점,"대전광역시 중구 대종로594번길 51 (선화동, 하늘채스카이앤1차)",36.3365042066403,127.419478191021
컴포즈커피,대전,대전선화하늘채점,대전광역시 중구 대종로594번길 51 120호,36.3365042066403,127.419478191021
디저트39,대전,선화하늘채점,"대전광역시 중구 대종로594번길 51 (선화동, 하늘채스카이앤1차) 303동 128호",36.3365042066403,127.419478191021
메가커피,대전,대전아이파크시티점,"대전광역시 유성구 상대복용로29번길 52 (상대동, 대전아이파크시티 1단지)",36.3373202239018,127.329714644615
빽다방,대전,대전아이파크시티점,대전광역시 유성구 상대복용로29번길 52,36.3373202239018,127.329714644615
던킨도너츠,대전,대전도안,"대전광역시 유성구 상대복용로29번길 52 (상대동, 대전아이파크시티 1단지), 39-40호",36.3373202239018,127.329714644615
빽다방,대전,대전도안갑천레이크점,"대전광역시 유성구 원신흥로122-11, 1층 102호",36.3399400074819,127.349914687035
더벤티,대전,대전도안호수공원점,"대전광역시 유성구 원신흥로 122-11 (원신흥동, 명경프라자Ⅱ) 107호",36.3399400074819,127.349914687035
이디야,대전,대전한밭대국제교류점,대전광역시 유성구 동서대로 125 국제교류센터동 1층,36.3452663484108,127.305261969401
이디야,대전,대전한밭대학생회관점,대전광역시 유성구 동서대로 125 학생회관동 1층,36.3452663484108,127.305261969401
빽다방,대전,대전탄방로데오점,"대전광역시 서구 둔산중로14번길 36, 124호(탄방동)",36.3476267112457,127.388856188333
컴포즈커피,대전,대전탄방점,"대전광역시 서구 둔산중로14번길 36 123호 (탄방동, 하이플러스)",36.3476267112457,127.388856188333
빽다방,대전,대전터미널서관점,"대전시 동구 동서대로 1689, 대번복합터미널 서관 136호",36.3503349793975,127.436711042049
더벤티,대전,대전복합터미널점,"대전광역시 동구 동서대로 1689 (용전동, 대전복합터미널(서관)) 1층 EW107호",36.3503349793975,127.436711042049
디저트39,대전,대전복합터미널점,"대전광역시 동구 동서대로 1689 (용전동, 대전복합터미널(서관)) 108호(서관 3번 게이트 옆)",36.3503349793975,127.436711042049
던킨도너츠,대전,대전터미널서관,"대전광역시 동구 동서대로 1689 (용전동, 대전복합터미널(서관))",36.3503349793975,127.436711042049
스타벅스,대전,대전복합터미널,대전광역시 동구 용전동 63-3 대전복합터미널(서관) 105호,36.3505040933727,127.436622306744
공차,대전,대전복합터미널점,대전광역시 동구 용전동 63-3 1층,36.3505040933727,127.436622306744
투썸플레이스,대전,대전갈마점,"대전광역시 서구 신갈마로 186, 125호(갈마동)",36.3508716123058,127.368715286046
빽다방,대전,대전갈마네거리점,대전광역시 서구 신갈마로 186,36.3508716123058,127.368715286046
컴포즈커피,대전,대전시청역점,대전광역시 서구 둔산로 130,36.3509910661506,127.388163607113
디저트39,대전,대전둔산점,"대전광역시 서구 둔산로 130 (둔산동, 대덕프라자) 1층 107호",36.3509910661506,127.388163607113
빽다방,대전,대전둔산향촌점,"대전시 서구 둔산로 14, 1층",36.3521819835995,127.375381212824
더벤티,대전,대전둔산타임월드점,"대전광역시 서구 둔산로 14 (둔산동, 그린코아) 1층 106,110호",36.3521819835995,127.375381212824
더벤티,대전,대전법원점,"대전광역시 서구 둔산중로 66 (둔산동, 메트로팰리스) 1층 114호",36.3526384723335,127.387256579221
하삼동커피,대전,대전법원점,대전광역시 서구 둔산중로 66 1층 115호 하삼동커피 대전법원점,36.3526384723335,127.387256579221
메가커피,대전,대전유성온천역점,"대전광역시 유성구 계룡로 92 (봉명동, 유성CJ나인파크), 1",36.3534744900415,127.34059446686
파스쿠찌,대전,유성온천역점,대전광역시 유성구 계룡로 92 105-2호 106-1호 106-2호 106-3호,36.3534744900415,127.34059446686
스타벅스,대전,대전유성NC,대전광역시 유성구 봉명동 549-11 NC대전유성점 1층,36.3536795315679,127.344015040333
더벤티,대전,NC대전유성점,대전광역시 유성구 봉명동 549-11 NC대전유성점 10F,36.3536795315679,127.344015040333
스타벅스,충남,공주동학사DT,"충청남도 공주시 반포면 학봉리 436-1, 435-5, 439-1, 441-12, 814-14",36.3554652341903,127.238937399736
투썸플레이스,충남,공주동학사점,충청남도 공주시 반포면 학봉리 716-1,36.3554652341903,127.238937399736
메가커피,대전,대전비래점,대전광역시 대덕구 비래동로15번길 2 (비래동),36.355638787303,127.449744755322
빽다방,대전,대전비래점,대전광역시 대덕구 비래동로15번길 2,36.355638787303,127.449744755322
메가커피,대전,대전유성푸르지오점,"대전광역시 유성구 온천로 45 (봉명동, 유성 푸르지오 시티)",36.3558166482127,127.34301917889
컴포즈커피,대전,대전유성푸르지오점,"대전광역시 유성구 온천로 45 (봉명동, 유성 푸르지오 시티)",36.3558166482127,127.34301917889
공차,대전,대전유성온천점,대전광역시 유성구 온천로 45 109동 110호,36.3558166482127,127.34301917889
할리스,대전,대전유성온천점,대전광역시 유성구 온천로 45 1층,36.3558166482127,127.34301917889
이디야,대전,유성홈플러스점,대전광역시 유성구 한밭대로 502 1층 엔젤리너스코너(봉명동),36.3584023856827,127.354171588147
