매점명,주소,위도,경도
강릉교동점,강원특별자치도 강릉시 교동광장로 129 (교동) 1층,37.7646006048369,128.879214558625
안산고잔역점,경기 안산시 단원구 화정천동로 106 (고잔동) 1층 (고잔동),37.3143851841491,126.821980978588
광주행암점,광주 남구 효덕로 201 (행암동) 주건축물제1동 1층 103호 더벤티 광주행암점,35.1020327632404,126.899308824586
나주동신대점,전남 나주시 대호길 76-21 (대호동) 1층,35.0440868088398,126.717202476876
전주시청점,전북특별자치도 전주시 완산구 팔달로 262-14 (서노송동) 1층(서노송동),35.8261701875681,127.144751883039
강서가양점,"서울 강서구 허준로 16 (가양동, 성지빌딩) 1층 102호 (가양동)",37.5703291249212,126.84346068548
의왕스마트시티점,경기 의왕시 광진말로 54 (초평동) 1층 S149호 (초평동),37.3209328118125,126.940659894464
천안풍세수자인점,"충남 천안시 동남구 풍세면 풍세산단로 290 (보성리, 천안 한양수자인 에코시티) 상가동 1층 183호 (천안 한양수자인 에코시티)",36.7236798779189,127.103930311717
석촌중앙점,"서울 송파구 백제고분로33길 14 (석촌동, 유림빌딩) 유림빌딩 1층 더벤티 석촌중앙점",37.5038242686923,127.098869673092
인천옥련시장점,"인천 연수구 독배로40번길 11 (옥련동, 효명프라자) 1층 102호(옥련동, 효명프라자)",37.4245267307736,126.645636090343
김해진영장등점,"경남 김해시 진영읍 장등로 94 (진영리, 중흥S클래스3단지아파트) 331동 1층 111호 (중흥S클래스3단지아파트) 더벤티 김해진영장등점",35.3126677958973,128.731623715586
현대테라타워DMC점,경기 고양시 덕양구 향동로 218 (향동동) 현대테라타워DMC A-B112호,37.6083831457184,126.893918276042
인천시티오씨엘점,"인천 미추홀구 학익로 116 (학익동, 시티오씨엘 1단지) 126동 1층 16호 (학익동, 시티오씨엘 1단지)",37.4419513843446,126.643265425669
청주예술대점,충북 청주시 청원구 안덕벌로104번길 14-2 (내덕동) 1층 더벤티 청주예술대점(내덕동),36.6575584258472,127.499325032671
양산사송점,"경남 양산시 동면 사송로 55 (사송리, 사송역 우미린 포레스트) 1층 112호 더벤티 양산사송점",35.306203984611,129.073503087247
포항양덕삼구점,"경북 포항시 북구 장량중앙로 130 (양덕동, 양덕삼구트리니엔3차) 311동 105호(양덕동, 양덕삼구트리니엔3차)",36.0887892369231,129.395871296074
대구반월당점,대구 중구 중앙대로 333 (남산동) 1층(남산동) 더벤티 대구반월당점,35.8629010642407,128.592894039372
익산부영1차점,전북특별자치도 익산시 무왕로 1118 (어양동) 1층 더벤티 익산부영1차점,35.9583737607912,126.980902560814
이천하이닉스점,경기 이천시 부발읍 경충대로2092번길 31 (아미리) 1층 105호(이천아미리슈빌S),37.2526577702159,127.49143157706
거제지세포점,경남 거제시 일운면 거제대로 2575 (소동리) 주1동 1층,34.835617936539,128.698727543112
김해삼방점,경남 김해시 삼안로 227-1 (삼방동) 1층 (삼방동),35.2484025442358,128.910708335564
구미옥계에덴점,경북 구미시 흥안로 14 (옥계동) 101호 (옥계동),36.1471504738861,128.417148625079
포항용산점,"경북 포항시 남구 오천읍 정몽주로 331 (문덕리, 오천천마타운) 5동 108호 더벤티 포항용산점",35.9491004547574,129.409039725282
광주평동점,광주 광산구 평동로 812 (옥동) 1층,35.1242854895254,126.763063331345
돌곶이역점,"서울 성북구 화랑로 245 (장위동) 102호, 103호",37.6108496096764,127.056498494404
댕리단길점,경기 안양시 만안구 안양로329번길 17 (안양동) 1층 101호(안양동),37.400783388761,126.918314426557
순천한양수자인점,"전남 순천시 삼산로 173 (용당동, 한양수자인 디에스티지) 근린생활시설동 B202호(용담동, 한양수자인 디에스티지)",34.977429900303,127.493788112576
창원온천점,경남 창원시 성산구 동산로73번길 11 (상남동) 1동 1층 101호,35.2172880263468,128.684938358686
강남자곡점,서울 강남구 자곡로 172 (자곡동) 1층 119호 더벤티 강남자곡점,37.4732536264997,127.102566346886
마포합정점,서울 마포구 독막로 42 (합정동) 1층 더벤티 마포합정점,37.5478025919408,126.917910400658
고려대역점,서울 성북구 종암동 29-29 1층 더벤티 고려대역점,37.5923134760269,127.03622823603
천호역성내점,"서울 강동구 올림픽로62길 18 (성내동, 케이빌딩) 케이빌딩 1층 101-2호 더벤티 천호역성내점",37.5362857629839,127.123736947948
구미산동우미린점,"경북 구미시 산동읍 신당인덕3로 3 (인덕리, 우미린풀하우스) 1동 1층 106호 더벤티 구미산동우미린점",36.1614724851317,128.436792968079
강릉유천점,강원특별자치도 강릉시 선수촌로 69 (홍제동) A동 107호,37.7572656275118,128.87003946222
군산푸르지오점,"전북특별자치도 군산시 궁포2로 20 (조촌동, 군산 디오션시티 푸르지오) 1층 2호",35.9794771429383,126.739236992765
여수이순신광장점,전남 여수시 동문로 2-2 (중앙동) 1층(중앙동),34.740433727727,127.736436924791
음성감곡점,충북 음성군 감곡면 왕장리 453-6 1층,37.1186466880585,127.636892275186
전북순창점,전북특별자치도 순창군 순창읍 장류로 355 (순화리) 더벤티 전북순창점,35.3767703839361,127.141197788853
김포장기역점,"경기 김포시 김포한강1로51번길 28 (장기동, 레드클로버) 107호",37.6441443537542,126.667048031405
마포도화점,"서울 마포구 삼개로 16 (도화동, 근신빌딩) 근신빌딩 본관 1층 102호",37.5392825670042,126.947276903557
