매점명,주소,위도,경도
롯데아울렛 광주수완점,광주광역시 광산구 장신로 98 롯데아울렛 수완점 1층,35.1894383628988,126.819287851791
신세계백화점 광주점,광주광역시 서구 무진대로 932 신세계백화점 광주점 지하 1층,35.1596771668701,126.882630869031
롯데백화점 광주점,광주광역시 동구 독립로 268 롯데백화점 광주점,35.1545578614526,126.912183450401
마산 회원 DT점,경남 창원시 마산회원구 3·15대로 506,35.2194439564109,128.574853723262
마산 해안대로DT점,창원시 마산합포구 중앙동3가 4-281,35.1978387330361,128.567600164548
롯데백화점 창원점,경남 창원시 성산구 상남로 121 롯데백화점 창원점 영프라자 지하 1층,35.2241682585558,128.682855168629
현대백화점 울산점,울산광역시 남구 삼산로 261 현대백화점 울산점 1층,35.5395698929406,129.335811485046
양산 웅상 DT점,양산시 주진동 131-22,35.39763,129.14038
롯데아울렛 김해점,경상남도 김해시 장유로 469 롯데아울렛 신관 1층,35.1850621204763,128.829596369018
부산 금곡 강변점,부산 북구 금곡대로616번길 7-5,35.2626032019428,129.014995746369
롯데아울렛 남악점,전라남도 전남 무안군 삼향읍 남악로 162번 80,34.8231113964846,126.441602770842
부산 연산역점,부산광역시 연제구 중앙대로 1091 1F,35.1854115498798,129.080657879087
롯데백화점 부산본점,부산시 부산진구 가야대로 772롯데백화점 부산본점 지하2층,35.156789983664,129.056416218143
부산 전포 DT점,부산광역시 부산진구 전포대로 248,35.1587952853667,129.065701713542
신세계 센텀시티몰점,부산광역시 해운대구 센텀 4로 15(신세계 센텀시티몰점) 지하 2층,35.1698614224623,129.12829006113
신세계백화점 센텀시티점,부산광역시 해운대구 센텀남대로 35 신세계센텀시티 9층,35.1688178394069,129.129523260187
부산 괴정 DT점,부산광역시 사하구 낙동대로 169,35.1018425540662,128.997856580855
롯데몰 동부산점,부산시 기장군 기장읍 기장해안로 147 롯데몰 동부산점 1층 F&B 코너,35.1923229796397,129.212495349946
부산 대연 DT점,부산 남구 조각공원로 38,35.1303532949606,129.101832649106
롯데백화점 광복점,부산광역시 중구 중앙대로 2 롯데백화점 광복점 B1,35.0979848964696,129.036632251021
거제 아주 DT점,거제시 아주동 762-1,34.8686293,128.6917003
제주 용담DT점(with 피자 일뽀르노),제주특별자치도 제주시 서해안로 442-1,33.5174349007401,126.487278207651
제주공항 국내선점,제주시 공항로 2 제주국제공항 국내선 3F,33.5059364682672,126.495951277797
제주 아라DT점,제주시 아라이동 2436 폴 바셋,33.4875084893148,126.541209200942
