지점명,주소,위도,경도
여수 여천점,전남 여수시 망마로 55  (신기동),34.7591097568908,127.668871497669
김해대동점,경남 김해시 대동면 동남로 149  (조눌리),35.2460329690633,128.996805596628
군산 나운점,전북 군산시 나운동 95-2,35.9659629865098,126.701977584008
대전둔산점,"대전 서구 둔산로 130  (둔산동, 대덕프라자) 1층 107호",36.3509910661506,127.388163607113
강진점,"전남 강진군 강진읍 중앙로 88  (평동리, 금호상가)",34.63799296945,126.767153620951
수원 나혜석거리점,경기 수원시 팔달구 권광로196번길 24  (인계동),37.2644970431188,127.034563436559
창원귀산점,경남 창원시 성산구 삼귀로 379  (귀산동),35.1641583949284,128.608526336223
부산 남포점,부산 중구 광복로 30-1  (창선동2가),35.0992178699046,129.028368505102
구월 호텔점,"인천 남동구 선수촌공원로23번길 1  (구월동, 9월호텔)",37.4408894834623,126.709706067401
인천 주안점,인천 미추홀구 주안로 92  (주안동) 다동 101호,37.4638595091207,126.679789448359
목포 용해점,전남 목포시 대양로 129  (용해동),34.8222493681702,126.393616199949
고양 화정점,"경기 고양시 덕양구 화중로 126  (화정동, 찬우물상가) 104호",37.6382450188893,126.831899039746
부산대점,부산 금정구 부산대학로49번길 38-1  (장전동),35.229637294023,129.085122505247
삼성전자 기흥점,"경기 용인시 기흥구 삼성로 1  (농서동, 삼성전자(주)기흥캠퍼스)",37.2269444725375,127.087763746841
구리 수택점,"경기 구리시 이문안로 106  (수택동, 럭키아파트 단지내 상가)",37.5915461648631,127.142819420081
광교 호수공원점,"경기 수원시 영통구 법조로 38  (하동, 광교 더샵 레이크파크)",37.2868888807808,127.062148509856
광양 성황점,전남 광양시 성황7길 21  (성황동) 1층중 1층 일부(성황동),34.9368432404495,127.680249884275
광양 마동점,전남 광양시 사동로 204  (마동),34.9545285145391,127.692429024213
호매실 금곡점,"경기 수원시 권선구 금곡로212번길 14  (금곡동, 거성빌딩)",37.2734391901385,126.953664098632
장성 제니스점,경북 포항시 북구 새천년대로1249번길 26  (장성동),36.0761568363549,129.382666135766
대구 성서점,대구 달서구 이곡공원로1길 50  (이곡동),35.8569360225313,128.508920412033
대전목동점,대전 중구 목동 4-11  1층,36.3335880091563,127.411805550713
부천 범박점,"경기도 부천시 범안로 117  (범박동, 현대리치모아) 1층 103호",37.4712169212861,126.809587373605
안산 원곡센트럴점,경기 안산시 단원구 화랑로 122  (원곡동),37.3255982193404,126.801777801111
진접 해밀점,경기 남양주시 진접읍 해밀예당1로 50-44  (금곡리) 1층,37.7119999958879,127.187580744851
안산 고잔점,"경기 안산시 단원구 광덕동로 41  (고잔동, 로진프라자) 104호",37.3081753720013,126.832107602403
용인 신동백점,"경기 용인시 기흥구 동백죽전대로 507  (동백동, 용인동백두산위브더제니스) 143호",37.2830246609485,127.150608535392
봉담2지구점,경기도 화성시 봉담읍 상리중심상가길 6-4  (상리) 1층 103호,37.2243371291513,126.946386958511
대전봉명점,"대전광역시 유성구 계룡로 150  (봉명동, 승호빌딩) 205호",36.3517921868113,127.346887241678
시흥 은계호수공원점,"경기도 시흥시 은계호수로 31  (은행동, 그린타워)",37.4445135644629,126.803425616908
안산 선부점,"경기도 안산시 단원구 선부광장1로 30  (선부동, 단원프라자)",37.3362711219311,126.808461126568
창원팔용점,"경상남도 창원시 의창구 팔용로 428  (팔용동, 드림피아)",35.2545843985563,128.612779981616
의정부회룡역점,경기도 의정부시 외미로 95  (호원동) 1층 114호,37.7245622334329,127.045961456479
산본역점,"경기도 군포시 번영로 495  (산본동, 신명산빌딩) 1층 101호",37.3581103112345,126.931939270521
포항 오천문덕점,경북 포항시 남구 오천읍 원동로 44  (원리),35.9668469699288,129.403122023676
미사가로수길점,"경기도 하남시 미사강변동로84번길 29  (망월동, 미사역 헤리움 애비뉴어)104호",37.5632526660464,127.194725811456
김포 라베니체점,경기도 김포시 태장로 820-26  (장기동) 라베니체마치에비뉴8차 116호,37.6379887775702,126.676838614747
평택고덕점,"경기도 평택시 고덕면 고덕중앙2로 77-6  (여염리, 리치타워)",37.0449188496417,127.041549007098
서귀포 명동로점,제주특별자치도 서귀포시 명동로 20  (서귀동),33.2472076373728,126.563989832159
광주 신창점,광주 광산구 신창로 110-1  (신창동),35.1950336933985,126.838218777462
광주 충장로점,광주 동구 충장로안길 38  (황금동) 국제빌딩,35.147069424446,126.917010832509
부산 국제신도시점,부산광역시 강서구 명지국제8로10번길 38  (명지동),35.0943776683714,128.903500417281
김해내외중앙점,"경남 김해시 내외중앙로 30  (외동, 쌍둥이빌딩메트로타워I) 메트로타워 113호",35.2325746269208,128.866624819787
수원 세류역점,경기도 수원시 권선구 세류동 1162,37.2441276667004,127.016815421893
천안성성레이크타운점,충남 천안시 서북구 성성8로 2-15  (성성동),36.8398133863026,127.130158422763
등촌역점,"서울 강서구 공항대로 531  (염창동, 한울밸리움) 105호",37.5511356670438,126.865471141449
익산영등점,전북 익산시 영등동 831-3,35.9589674271887,126.97302305808
거창거열점,경상남도 거창군 거창읍 거열로4길 133  (가지리),35.7011935907642,127.900027745139
구미 인동점,"경북 구미시 인동35길 32  (구평동, 건강타운)",36.0969866081899,128.434555737187
논산 내동점,충남 논산시 시민로132번길 48  (내동) 104호,36.1806956397991,127.106113918493
충북음성점,충청북도 음성군 음성읍 설성로 85  (읍내리),36.9304439602474,127.6916402807
명지대점,"서울 서대문구 명지대길 6  (홍은동, 신흥빌딩)",37.5807151100724,126.925143593072
오리역점,"경기도 성남시 분당구 성남대로43번길 10  (구미동, 하나EZ타워)",37.3400279256648,127.10781452584
대전도안목원대점,대전 서구 도안북로93번길 20-5  (도안동),36.3311011398385,127.339073112328
개봉 푸르지오점,"서울 구로구 남부순환로 775  (개봉동, 개봉푸르지오) 상가 106동 101호",37.5015678689641,126.847162335199
제주 연동대야점,제주특별자치도 제주시 국기로 19  (연동)  1층,33.479919714526,126.490007243523
인천 구월점,"인천 남동구 인하로489번길 16  (구월동, 세동네오스) 103호",37.4442604878045,126.701335738382
일산 탄현점,경기 고양시 일산서구 일현로 65  (탄현동),37.6928407810098,126.763510920584
서울 방배서래점,서울 서초구 동광로 95  (방배동),37.4937281039123,126.992660192723
익산 모현점,전북 익산시 배산로 158  (모현동1가),35.9515918078008,126.941503742894
포항 초곡점,경북 포항시 북구 흥해읍 초곡지구로 123  (초곡리),36.0932780405651,129.336077047253
전남 도청점,전남 무안군 삼향읍 대죽서로 35  (남악리),34.8117912687093,126.461737144675
잠실 새내역점,서울 송파구 올림픽로12길 17  (잠실동),37.5101012306694,127.08330002464
창원 용지호수공원점,"경남 창원시 성산구 용지로169번길 13  (용호동, 라이크빌-1)  (용호동, 라이크빌-1)",35.2304361690794,128.680920916114
