매장코드,매장명,주소,오픈날짜,위도,경도
1173,목포하당,전라남도 목포시 상동 828-4,2017-02-24,34.8039610327492,126.41978607883
1017,목포북항DT,"전라남도 목포시 산정동 1750-8, 1750-20, 1750-21",2015-12-17,34.8086632895171,126.373226897977
796,목포옥암,전라남도 목포시 옥암동 968-2,2014-06-25,34.8074270409281,126.427236394088
646,목포평화광장,전라남도 목포시 상동 1159-10번지,2013-07-25,34.7970033447971,126.434923777421
2101,목포이마트,전라남도 목포시 옥암동 915-25 목포이마트,2023-03-17,34.8132267760578,126.425204606626
2045,목포용해DT,전라남도 목포시 용해동 586-49,2022-11-03,34.8222062429571,126.394205561547
2400,목포해안로,전라남도 목포시 서산동 25,2025-04-17,34.7800525731563,126.37456142456
860,목포남악,전라남도 무안군 삼향읍 남악리 2128,2014-11-28,34.813151101348,126.461733656996
1753,전남도청DT,전라남도 무안군 삼향읍 남악리 2150,2021-01-22,34.8102549270138,126.460698936097
2461,무안오룡,전라남도 무안군 일로읍 오룡리 428 웨스턴플라자 101 1층,2025-09-26,34.7957820361647,126.482894632222
1447,순천연향,전라남도 순천시 연향동 1340,2018-12-13,34.9522655036839,127.518855460433
1183,순천신대,전라남도 순천시 해룡면 신대리 1989-1,2017-03-16,34.9335395432924,127.550259145525
1166,순천호수공원,"전라남도 순천시 왕지동 876-10 1,2층",2017-01-19,34.968156841252,127.523230377054
402,순천조례,전라남도 순천시 조례동 1731-1 번지,2011-06-24,34.9718099950054,127.520888756008
1747,순천용당DT,전라남도 순천시 가곡동 336-1,2020-12-18,34.9802161164365,127.485366012779
2056,순천팔마DT,전라남도 순천시 연향동 133,2022-11-30,34.9349397111116,127.52166101161
1899,순천이마트,전라남도 순천시 덕암동 169 (주)이마트,2021-12-09,34.9424196249689,127.508739614794
2406,순천왕지DT,"전라남도 순천시 조례동 357-8,357-33, 산 43-14 총 3필지",2025-05-14,34.9592476,127.5233766
2186,순천오천,전라남도 순천시 풍덕동 1757-1,2023-09-25,34.9370514855309,127.495604561002
1520,여수해양공원,전라남도 여수시 종화동 497,2019-06-28,34.7383288961012,127.744219469855
1646,여수학동DT,"전라남도 여수시 학동 67-6, 18, 19",2020-05-21,34.7614512078109,127.660935119576
